Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2018-05-03 15:19:06,05.05.2018,*7197,OK,-368.3,RUB,-368.3,RUB,,Супермаркеты,5411.0,Перекрёсток,7,0,368.3
2018-05-02 18:28:38,04.05.2018,*7197,OK,-221.27,RUB,-221.27,RUB,,Супермаркеты,5411.0,Пятёрочка,4,0,221.27
2018-05-01 22:06:23,03.05.2018,*7197,OK,-416.3,RUB,-416.3,RUB,,Супермаркеты,5411.0,Перекрёсток,8,0,416.3
2018-04-30 13:09:05,03.05.2018,*7197,OK,-116.16,RUB,-116.16,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,116.16
2018-04-29 18:57:14,02.05.2018,*7197,OK,-88.8,RUB,-88.8,RUB,,Супермаркеты,5411.0,Перекрёсток,1,0,88.8
2018-04-29 14:17:39,02.05.2018,*7197,OK,-220.27,RUB,-220.27,RUB,,Супермаркеты,5411.0,Перекрёсток,4,0,220.27
2018-04-28 18:17:43,04.05.2018,*7197,OK,-61.4,RUB,-61.4,RUB,,Супермаркеты,5411.0,Перекрёсток,1,0,61.4
2018-04-26 17:12:29,29.04.2018,*7197,OK,-463.3,RUB,-463.3,RUB,,Супермаркеты,5411.0,Перекрёсток,9,0,463.3
2018-04-24 14:35:40,26.04.2018,*7197,OK,-155.6,RUB,-155.6,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,155.6
2018-04-24 09:27:18,26.04.2018,*7197,OK,-108.92,RUB,-108.92,RUB,,Супермаркеты,5411.0,Billa,2,0,108.92
2018-04-23 17:22:05,25.04.2018,*7197,OK,-208.6,RUB,-208.6,RUB,,Супермаркеты,5411.0,Перекрёсток,4,0,208.6
2018-04-22 20:03:46,24.04.2018,*7197,OK,-342.5,RUB,-342.5,RUB,,Супермаркеты,5411.0,Перекрёсток,6,0,342.5
2018-04-21 12:49:14,23.04.2018,*7197,OK,-433.93,RUB,-433.93,RUB,,Супермаркеты,5411.0,SPAR,8,0,433.93
2018-04-19 12:26:41,21.04.2018,*7197,OK,-173.5,RUB,-173.5,RUB,,Супермаркеты,5499.0,Универсам Авоська,3,0,173.5
2018-04-19 10:12:40,21.04.2018,*7197,OK,-89.9,RUB,-89.9,RUB,,Супермаркеты,5411.0,Billa,1,0,89.9
2018-04-18 17:18:43,20.04.2018,*7197,OK,-215.18,RUB,-215.18,RUB,,Супермаркеты,5499.0,Универсам Авоська,4,0,215.18
2018-04-17 17:33:50,19.04.2018,*7197,OK,-132.7,RUB,-132.7,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,132.7
2018-04-17 09:21:41,19.04.2018,*7197,OK,-89.9,RUB,-89.9,RUB,,Супермаркеты,5411.0,Billa,1,0,89.9
2018-04-15 00:00:00,17.04.2018,*7197,OK,-703.82,RUB,-703.82,RUB,,Супермаркеты,5411.0,Перекрёсток,14,0,703.82
2018-04-13 13:37:59,16.04.2018,*7197,OK,-149.6,RUB,-149.6,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,149.6
2018-04-13 09:25:06,14.04.2018,*7197,OK,-89.9,RUB,-89.9,RUB,,Супермаркеты,5411.0,Billa,1,0,89.9
2018-04-12 18:39:59,14.04.2018,*7197,OK,-98.8,RUB,-98.8,RUB,,Супермаркеты,5499.0,Универсам Авоська,1,0,98.8
2018-04-10 16:04:19,13.04.2018,*7197,OK,-298.5,RUB,-298.5,RUB,,Супермаркеты,5411.0,Перекрёсток,5,0,298.5
2018-04-10 00:00:00,12.04.2018,*7197,OK,-38.9,RUB,-38.9,RUB,,Супермаркеты,5411.0,Пятёрочка,0,0,38.9
2018-04-09 23:02:48,11.04.2018,*7197,OK,-195.14,RUB,-195.14,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,195.14
2018-04-09 17:43:37,11.04.2018,*7197,OK,-79.8,RUB,-79.8,RUB,,Супермаркеты,5411.0,Billa,1,0,79.8
2018-04-08 18:41:24,11.04.2018,*7197,OK,-330.7,RUB,-330.7,RUB,,Супермаркеты,5411.0,Перекрёсток,6,0,330.7
2018-04-08 13:02:05,11.04.2018,*7197,OK,-120.7,RUB,-120.7,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,120.7
2018-04-07 10:32:59,09.04.2018,*7197,OK,-26.9,RUB,-26.9,RUB,,Супермаркеты,5411.0,Перекрёсток,0,0,26.9
2018-04-06 21:30:45,08.04.2018,*7197,OK,-155.7,RUB,-155.7,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,155.7
2018-04-06 18:50:58,08.04.2018,*7197,OK,-322.4,RUB,-322.4,RUB,,Супермаркеты,5411.0,Перекрёсток,6,0,322.4
2018-04-05 14:37:53,07.04.2018,*7197,OK,-209.6,RUB,-209.6,RUB,,Супермаркеты,5499.0,Универсам Авоська,4,0,209.6
2018-04-05 14:02:49,07.04.2018,*7197,OK,-343.4,RUB,-343.4,RUB,,Супермаркеты,5411.0,Перекрёсток,6,0,343.4
2018-04-05 09:24:04,07.04.2018,*7197,OK,-51.84,RUB,-51.84,RUB,,Супермаркеты,5411.0,Billa,1,0,51.84
